书名,作者,出版社,ISBN,出版年,分类号,索书号,记录ID
孙中山  中. 上 : 伟大的民主革命先驱,陈琳,广东教育出版社,978-7-5406-6817-4,2007,K827=6,K827=6/27,99746
毛泽东,郑春兴主,时代文艺出版社,978-7-5387-2752-4,2009,A752,A752-49/2,99743
孙中山. 上,陈琳,广东教育出版社,978-7-5406-6817-4,2007,K827=6,K827=6/27,99741
从简·奥斯汀到简·爱,(英)伍尔芙,江苏凤凰文艺出版社,978-7-5594-0665-1,2018,I561.65,I561.65/22,9974
新民主主义教育思想与教育论著选读,冯克诚主,人民武警出版社,978-7-80176-458-4,2010,G412-53,G412/2,99737
吹云记,高军,北京联合出版公司,978-7-5596-2930-2,2019,I267.1,I267.1/523,9973
汉字的故事. 第2版,郁乃尧,光明日报出版社,978-7-80145-834-6,2009,H12-49,H12-49/4,99728
美食家,陆文夫,五洲传播出版社,978-7-5085-4081-8,2019,I247.5,I247.5/5325,9972
警官反差萌,L小姐,江苏凤凰文艺出版社,978-7-5594-3234-6,2019,I247.57,I247.57/2617,9971
美味思乡月饼,胡秀钟主,化学工业出版社,978-7-122-00226-6,2007,TS213.2,TS213.2/24,99708
高新科技的开发,本书写组,广东世界图书出版公司,978-7-5100-1615-8,2010,N49,N49/33,99701
北门之外有诗,普建敏,天津人民出版社,978-7-201-15171-7,2019,I227,I227/464,9970
自伽利略之后 : 圣经与科学之纠葛,(美)查尔斯·赫梅尔(Charles E. Hummel),宁夏人民出版社,978-7-227-03605-0,2008,N02,N02/3,99698
中国式崛起（上） : 和谐发展与公共经济管理改革. 第2版,张占斌,国家行政学院出版社,978-7-80140-569-2,2011,F124,F124/37,99696
不可思议的惊世预言 : 全彩图文版,杨红林等,京华出版社,978-7-5502-0003-6,2010,K109,K109/21,99692
小镇艳阳录,(加)斯蒂芬·里柯克(Stephen Leacock),花城出版社,978-7-5360-8389-9,2018,I711.45,I711.45/52,9969
会唱歌的绿蘑菇,郑成南,大众文艺出版社,978-7-80240-643-8,2010,I247.8,I247.8/200,99683
找一个愿意跟我去流浪的人,(法)阿尔蒂尔·兰波,江苏凤凰文艺出版社,978-7-5594-0678-1,2018,I565.64,I565.64/16,9968
黄昏辞,流云飞渡,北方文艺出版社,978-7-5317-4367-5,2019,I227,I227/463,9967
说话办事就这么简单 : 简单中的大智慧,刘子仲,中国三峡出版社,978-7-80223-475-8,2009,C912.1,C912.1/190,99668
他们为什么自杀,"刘心武, 刘志毅等",花城出版社,978-7-5360-6069-2,2010,I25,I25/3,99665
世故人情,鲁迅，老舍，周作人等,北京时代华文书局,978-7-5699-2345-2,2018,I266,I266/248,9966
傲慢与偏见,(英)简·奥斯汀,浙江教育出版社,978-7-5536-4828-6,2019,I561.44,I561.44/241,9965
电工与电子技术,张文兵 等,北京理工大学出版社,978-7-5640-2748-3,2009,TM,TM/31,99641
幸福，是一种美丽的态度,卢静楠,煤炭工业出版社,978-7-5020-7312-1,2019,B82-49,B82-49/71,9964
切肤之琴,赵雅楠,东方出版社,978-7-5060-9544-0,2018,I267,I267/1811,9963
思路决定出路. 第2版,张平,远方出版社,978-7-80723-183-7,2008,B821-49,B821-49/166,99627
乡村和平民教育思想与教育论著选读. 下,冯克诚主,人民武警出版社,978-7-80176-459-1,2010,G725-53,G725-53/1:2,99622
明里暗里喜欢你,叶从衣,天津人民出版社,978-7-201-13949-4,2018,I247.57,I247.57/2616,9962
中外历史军事之谜. 四,唐敏,哈尔滨出版社,978-7-80753-066-4,2008,E19-49,E19-49/4,99619
水煤浆燃烧特性研究,吉登高,煤炭工业出版社,978-7-5020-3395-8,2008,TQ534.4,TQ534.4/1,99618
中国未解之谜,崔钟雷主,吉林美术出版社,978-7-5386-2498-4,2011,Z228,Z228/59,99610
思维的囚徒,(美)亚历克斯·佩塔克斯，(美)伊莱恩·丹顿,中信出版集团股份有限公司,978-7-5217-0707-6,2019,B84-065,B84-065/22,9961
科学的故事. 2版,韩华洁，肖玲玲，张翔,光明日报出版社,978-7-80145-958-9,2010,N49,N49/40,99609
一起来读毛泽东,韩毓海等主,中国少儿出版社,978-7-5148-8334-3,2023,A752-49,A752-49/1,996031
排爆机器人的研究与开发,富巍，刘美俊,电子工业出版社,978-7-121-10153-3,2010,TP242.2,TP242.2/2,99600
奇妙的大脑之言为心声,高永亮,江苏凤凰美术出版社,978-7-5580-0497-1,2018,B80-49,B80-49/9,9960
诗经之美,吴锋,南京出版社,978-7-5533-2410-4,2018,I207,I207/26,9959
中国之最 文化艺术 人类社会(最新图文版),刘振宇,京华出版社,978-7-80724-282-6,2007,Z228,Z228/80,99585
伊甸园,(美)海明威,现代出版社,978-7-5143-7113-0,2018,I712.45,I712.45/532,9958
改变的力量 : 心对了你的世界就对了,邓文庆,台海出版社,978-7-5168-2278-4,2019,B848.4-49,B848.4-49/820,9957
海洋里的动物,本书写组,广东世界图书出版公司,978-7-5100-1586-1,2010,Q958.88,Q958.885.3-49/1,99569
成语中的科学. 2,吕宁,广东世界图书出版公司,978-7-5100-1278-5,2009,Z228,H136.3-49/3,99560
我听见了时间. 下 : 崛起的中国90后诗人 : the rising of Chinese poets born in 1990s,《诗刊》社,中国青年出版社,978-7-5153-4790-5,2018,I227.1,I227.1/48：2,9956
大自然之谜,本书写组,广东世界图书出版公司,978-7-5100-1603-5,2010,N49,N49/32,99556
亲近自然,本书写组,广东世界图书出版公司,978-7-5100-1447-5,2009,N49,N49/37,99555
人类最伟大与最糟糕的发明,郭漫主,航空工业出版社,978-7-80183-981-7,2007,N19,N19-49/7,99553
我听见了时间. 上 : 崛起的中国90后诗人 : the rising of Chinese poets born in 1990s,《诗刊》社,中国青年出版社,978-7-5153-4790-5,2018,I227.1,I227.1/48：1,9955
我走过的那些路,张台平,华龄出版社,978-7-5169-1183-9,2018,I251,I251/128,9954
蛟龙探海 : 英文,[许晨],五洲传播出版社,978-7-5085-4007-8,2019,I25,I25/647,9953
霜叶红于二月花,邹卓鹏,天马出版有限公司,978-962-450-046-2,2012,G459,G459/7,99529
细说晋商文化. 上,朱彤,京华出版社,978-7-80724-226-0,2010,F729,F729/9,99524
古今战争故事奇观. 三. 2版,"严振新, 肖永生",福建少年儿童出版社,978-7-5395-1501-4,2011,I247.8,I247.8/181:3,99523
俯仰看人生,陈燕松,中国华侨出版社,978-7-5113-7800-2,2019,I267,I267/1810,9952
放鹤梅花河 : 诗文书法集,夏猛,现代出版社,978-7-5143-6906-9,2018,I227,I227/462,9951
TPM入门,文放怀主,广东经济出版社,978-7-80728-321-8,2006,F406.3,F406.3/2,99507
北宋名将曹彬,高阳,团结出版社,978-7-80130-934-1,2005,I247.53,I247.53/36,99501
影响力观,(美)博恩·崔西，(美)丹·斯特拉泽尔,金城出版社,978-7-5155-1786-5,2019,B848.4-49,B848.4-49/819,9950
八大胡同艳闻秘事,高阳,团结出版社,978-7-80130-950-1,2008,I247.57,I247.57/168,99498
拼一把，让明天的你感谢今天的自己 : 珍藏版,姜镪,天津人民出版社,978-7-201-12873-3,2018,B848.4,B848.4/1500,9949
当仓央嘉措遇见纳兰容若,随园散人,湖南人民出版社有限责任公司,978-7-5561-2126-7,2019,B949.92,B949.92/35,9948
来自大自然的报复,本书写组,广东世界图书出版公司,978-7-5100-1602-8,2010,X43-49,X43-49/4,99476
奇枝怪叶 : 中国志怪故事集,宋耀珍,中国工人出版社,978-7-5008-6825-5,2019,I247.81,I247.81/112,9947
梁启超传,吴其昌，梁启超,吉林人民出版社,978-7-206-14807-1,2018,B259.1,B259.1/3,9946
贺麟选集,"张学智,李存山",吉林人民出版社,978-7-206-04676-6,2010,B2-53,B26/4,99456
中国空军纪事,罗胸怀,中央编译出版社,978-7-80211-183-7,2010,I253.2,I253.2/14,99455
洪谦选集,"韩林合,李存山",吉林人民出版社,978-7-206-04680-3,2010,B2-53,B26/4,99452
"心理罪. Ⅱ, 祛除心态弥漫的迷雾",庞向前,中国华侨出版社,978-7-5113-7720-3,2018,B84-49,B84-49/181：2,9945
张岱年选集,李存山,吉林人民出版社,978-7-206-04679-7,2010,B2-53,B26/1,99449
劳伦斯作品精粹 : 英汉对照. 中短篇小说卷. 下,(英)D. H. 劳伦斯(David Herbert Lawrence),中国书籍出版社,978-7-5068-1561-1,2007,H319.4,H319.4/268,99448
制度哲学,唐坚,国家行政学院出版社,978-7-5150-2168-3,2018,D03,D03/6,9944
品格的力量,"(英)塞缪尔·斯迈尔斯,胡军霞",新疆美术摄影出版社,978-7-5469-0285-2,2010,B825-49,B825-49/100,99439
红日,吴强,时代文艺出版社,978-7-5387-2637-4,2009,I247.52,I247.52/26,99436
植物世界. 1,陈晓丹,中国戏剧出版社,978-7-104-03032-4,2009,Q94,Q94-49/15,99434
《浮士德》新译新解,(德)歌德,中国文联出版社,978-7-5190-4168-7,2019,I516,I516/2,9943
天下兵器,崔钟雷主,吉林美术出版社,978-7-5386-2493-9,2008,E92,E92/2,99426
一本书学会交往礼仪,陈明慧译,光明日报出版社,978-7-5112-1120-0,2011,C912.1,C912.1/232,99425
东坡易传. 下. [影印本],(宋)苏轼撰,中国书店,978-7-5149-2023-9,2018,B221.5,B221.5/54：2,9942
东坡易传. 上. [影印本],(宋)苏轼撰,中国书店,978-7-5149-2023-9,2018,B221.5,B221.5/54：1,9941
当代课程改革理论与论著选读(下). 下册,冯克诚,人民武警出版社,978-7-80176-445-4,2010,G632.3,G632.3/11,99401
贸易的冲突 : 美国贸易政策200年,(美)道格拉斯·欧文(Douglas A. Irwin),中信出版集团股份有限公司,978-7-5217-0465-5,2019,F171.251,F171.251/2,9940
最新审计技术与管理操作实务全案,贺志东,电子工业出版社,978-7-121-35480-9,2019,F239.0,F239.0/102,9939
环境影响评价案例分析 : 2009年版. 2版,环境保护部环境工程评估中心,中国环境科学出版社,978-7-80209-946-3,2009,X820.3,X820.3/9,99382
教育专家魏书生谈学习指导,龚春燕，付芝安,漓江出版社,978-7-5407-4944-6,2010,G632.0,G632.0/4,99381
微信小程序运营与推广完全自学手册,王洪波,电子工业出版社,978-7-121-34145-8,2018,F713,F713/29,9938
越玩越聪明的数独游戏,本书写组,世界图书出版公司,978-7-5100-2613-3,2011,G898.2,G898.2/39,99378
何谓法学,毕彦华,中央编译出版社,978-7-5117-0322-4,2010,D90-49,D90-49/2,99374
管理会计工具与案例. 成本管理,李守武主,中国财政经济出版社,978-7-5095-8163-6,2018,F234.3,F234.3/76,9937
神秘的华胥国. 上. 2版,曾宏根,西安出版社,978-7-80712-397-2,2010,K294.14,K294.14/1:1,99364
全球财经视野 : 2017国际财经周记,周强武主,中国财政经济出版社,978-7-5095-8145-2,2018,F113,F113/9,9936
直线三公里,敖超,北京十月文艺出版社,978-7-5302-1831-0,2018,I247.57,I247.57/2615,9935
大风 : 来自人与土地的声音,张凯,内蒙古人民出版社,978-7-204-15060-1,2018,I247.57,I247.57/2614,9934
神奇的新材料,本书写组,广东世界图书出版公司,978-7-5100-1612-7,2010,TB3-49,TB3-49/1,99335
《野草》赏读,陈亮亮主,辽海出版社,978-7-5451-5284-5,2019,I210,I210/12,9933
房地产经济专业知识与实务. 初级,柴强主,中国人事出版社,978-7-80189-724-4,2008,F293.30,F293.30/9,99320
佛系 : 如何成为一个快乐的人,(日)草薙龙瞬,江苏凤凰文艺出版社,978-7-5594-1431-1,2018,I313.65,I313.65/30,9932
名人名言金典 : 图文版. 1,陈晓丹,中国戏剧出版社,978-7-104-03067-6,2009,H033,H033/27:1,99318
HDV高清之路,缔维时 主,福建科学技术出版社,978-7-5335-3010-5,2007,J931,TN948.41/7,99316
晚清人物寻踪,夏晓虹,北京大学出版社,978-7-301-30736-6,2019,I267.1,I267.1/522,9931
教学工作漫谈下 : 教育专家魏书生教学指导. 上,魏书生,漓江出版社,978-7-5407-4952-1,2010,G63-53,G632.0-53/3：3,99303
中医外科与华佗,孙尧,吉林文史出版社,978-7-5463-1571-3,2010,R26,K826.2=342/2,99301
骑着鹿穿越森林,小托夫[],北京联合出版公司,978-7-5596-1753-8,2018,I247.57,I247.57/2613,9930
金属加工用精细化学品配方与工艺,张英,化学工业出版社,978-7-5025-9074-1,2008,TG19,TG17/2,99293
水系统集成优化 : 节水减排的系统综合方法,冯霄[等],化学工业出版社,978-7-122-02152-6,2008,TU991.64,TU991.64/3,99291
你多哄着我. 下,春风榴火,青岛出版社,978-7-5552-7857-3,2019,I247.57,I247.57/2612：2,9929
波澜盛世 : 唐朝那些人事儿,姜若木,西苑出版社,978-7-80210-649-9,2010,K242.09,K242.09/3,99287
晓风残月 : 宋朝那些人事儿,姜若木,西苑出版社,978-7-80210-644-4,2010,K244.09,K244.09/4,99285
铁马宏疆 : 元朝那些人事儿,姜若木,西苑出版社,978-7-80210-645-1,2010,K247.09,K247.09/3,99284
夕阳残照 : 清朝那些人事儿,姜若木,西苑出版社,978-7-80210-651-2,2010,K249.09,K249.09/5,99282
狼烟烽火 : 周朝那些人事儿,姜若木,西苑出版社,978-7-80210-591-1,2010,K224.09,K224.09/1,99280
你多哄着我. 上,春风榴火,青岛出版社,978-7-5552-7857-3,2019,I247.57,I247.57/2612：1,9928
乱云飞渡 : 南北朝那些人事儿,姜若木,西苑出版社,978-7-80210-590-4,2010,K239.09,K239.09/1,99279
水利水电工程施工技术,李宏伟，刘景才主,云南大学出版社,978-7-5482-0141-0,2010,TV5,TV5/6,99278
雄风漫卷 : 汉朝那些人事儿,姜若木,西苑出版社,978-7-80210-650-5,2010,K234.09,K234.09/3,99277
晋朝那些人事儿 : 义烈风云,姜若木,西苑出版社,978-7-80210-648-2,2010,K237.09,K237.09/1,99276
天香精油生活DIY全书,刘璞,江苏人民出版社,978-7-214-05790-7,2009,R161,R161/51,99273
超级临界机组锅炉设备及系统,朱全利主,化学工业出版社,978-7-122-02725-2,2008,TM621.2,TM621.2/1,99271
好日子，菜花 螺蛳 过老酒,沈春儿,化学工业出版社,978-7-122-31801-5,2018,I267.1,I267.1/521,9927
森林资源弱市场化流转研究,曾华锋，聂影,中国林业出版社,978-7-5038-5457-6,2009,F326.2,F326.2/2,99267
中国木材产业竞争力研究,宋维明,中国林业出版社,978-7-5038-5708-9,2009,F426.88,F426.88/3,99266
在复杂的世界里，优雅淡定做自己,凉湫,华文出版社,978-7-5075-5077-1,2019,I247.81,I247.81/111,9926
新编计算机应用基础案例教程,袁春花，王亚军，王洁松主,吉林大学出版社,978-7-5601-4412-2,2009,TP39,TP39/81,99253
不会谈恋爱的我,金国栋,百花洲文艺出版社,978-7-5500-2465-6,2018,I247.57,I247.57/2611,9925
ICON设计手册,陈素敏主,化学工业出版社,978-7-122-02547-0,2008,J506,J506/4,99248
VI设计手册,许建伟主,化学工业出版社,978-7-122-02542-5,2008,J524.4,J524.4/6,99246
人世间的水,陈崇正,江苏凤凰文艺出版社,978-7-5594-3967-3,2019,I267,I267/1809,9924
康德书信选,(德)康德,中华工商联合出版社有限责任公司,978-7-5158-2284-6,2018,B516.31,B516.31/9,9923
大道,李洪,中国电力出版社,978-7-5198-1704-6,2018,I25,I25/646,9922
战后日本文化语境中的“池田鲁迅”研究,卓光平,中国社会科学出版社,978-7-5203-1694-1,2018,I210,I210/11,9921
只要群星依然闪耀,(美)克莉丝汀·哈梅尔,江苏凤凰文艺出版社,978-7-5594-2686-4,2018,I712.45,I712.45/531,9920
