书名,作者,出版社,ISBN,出版年,分类号,索书号,记录ID
互联网新媒体伦理生态及治理研究,于孟晨，梁华平，王苏喜,中国社会科学出版社,978-7-5203-4973-4,2019,B82-057,B82-057/9,9902
外贸英语函电,杨伶俐主,,,2015,H315,H315/341,990152
中国梦·劳动美 : 学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神全国职工演讲比赛风采录,李玉赋主,中国工人出版社,978-7-5008-7062-3,2018,I267,I267/1808,9901
方圆宋江. 3版,程敏,京华出版社,978-7-80600-961-1,2010,C912.1,C93-49/21,99007
巴菲特的投资秘诀,毛定娟,光明日报出版社,978-7-5112-1102-6,2011,F837.125,F837.124.8/28,99003
影视广告策划与创作,王诗文主,中国广播电视出版社,978-7-5043-5785-4,2009,F713.80,F713.80/26,99002
说话办事就这么简单 : 简单中的大智慧,刘子仲,中国三峡出版社,978-7-80223-475-8,2009,C912.1,C912.1/190,99001
心语吟草,向福初,团结出版社,978-7-5126-7100-3,2019,I227,I227/460,9900
永远画不完的画,韩昌元,大众文艺出版社,978-7-80240-657-5,2010,I247.8,I247.8/202,98997
唱着生活的男孩,江东璞玉,大众文艺出版社,978-7-80240-648-3,2010,I247.8,I247.8/196,98996
德鲁克的管理秘诀,张乃奎，崔雪梅,光明日报出版社,978-7-5112-1103-3,2011,C93,C93/112,98994
人类的化学之路,本书写组,广东世界图书出版公司,978-7-5100-2003-2,2010,O6-49,O6-49/3,98993
创业计划书,(英)爱德华·布莱克韦尔(Edward Blackwell),机械工业出版社,978-7-111-25622-9,2009,H052,H052/1,98992
三车妙喻 : 《法华经·譬喻品》导读,曙提,宗教文化出版社,978-7-5188-0690-4,2019,B942.1,B942.1/21,9899
科特勒的营销秘诀,邢群麟,光明日报出版社,978-7-5112-1104-0,2011,F713.50,F713.50/186,98989
中国木材产业竞争力研究,宋维明,中国林业出版社,978-7-5038-5708-9,2009,F426.88,F426.88/3,98987
高新文脉,"王荣荣,章学锋",陕西师范大学出版总社有限公司,978-7-5695-0813-0,2019,I25,I25/644,9898
应该知道的地球万象. 下,肖瑶,西苑出版社,978-7-5151-0042-5,2011,P-49,P-49/2:3,98979
网络文学的学理形态,欧阳友权,中央文献出版社,978-7-5073-2498-3,2008,I206.7,I206.7/10,98978
中外名著导读,光玉主,吉林出版集团有限责任公司,978-7-5463-4276-4,2011,I106-49,I106-49/1,98977
施工技术,骆中钊，陈友民，张仪彬,化学工业出版社,978-7-122-03403-8,2009,TU767,TU767/33,98976
墨菲定律 : 每天学点心理学,夏林,中国纺织出版社,978-7-5180-5995-9,2019,B848.4-49,B848.4-49/818,9897
峥嵘岁月 : 民主革命时期中共银川党史资料. 一. 2版,黄晓宁主,宁夏人民出版社,978-7-227-03366-0,2010,D235.431,D235.431/1,98968
你的骄傲,一世安,花山文艺出版社,978-7-5511-1761-6,2018,I247.57,I247.57/2608,9896
细说晋商文化. 上,朱彤,京华出版社,978-7-80724-226-0,2008,F729,F729/11,98957
孙子兵法,"金敬梅,吴波主",世界图书出版公司,978-7-5192-0893-6,2018,E892.25-49,E892.25-49/9,9895
走进世界著名寺院,本丛书委会,广州世界图书出版公司,978-7-5100-0688-3,2009,K917-49,K917-49/2,98944
惶惑的人，寻路的文 : 周作人杂文精选集,周作人,九州出版社,978-7-5108-6541-1,2018,I266.1,I266.1/14,9894
一本书读通营销学,翟文明译,光明日报出版社,978-7-5112-1135-4,2011,F713.50,F713.50/184,98932
家事,张玉秋,宁夏人民出版社,978-7-227-03804-7,2008,I247.57,I247.57/674,98930
赶子逸闻,"皮世彬, 李翔飞主",吉林文史出版社,978-7-5472-5757-9,2019,I277.3,I277.3/37,9893
新编计算机应用基础,张瑞春，崔慧霞主,吉林大学出版社,978-7-5601-4415-3,2009,TP39,TP3/1,98921
心理学入门基础,秀清,中国纺织出版社有限公司,978-7-5180-6438-0,2019,B84-49,B84-49/180,9892
数学分析. 上册,曾捷主,中国矿业大学出版社,978-7-81107-396-6,2008,O17,O17/10,98914
中国文化知识读本. 二十四节气,"主金开诚,金诚,李思默",吉林出版集团有限责任公司,978-7-5463-1954-4,2010,S162,S162/3,98912
不是孩子的错-为中国少年成长辩护. 第2版,叶小平,国家行政学院出版社,978-7-80140-450-3,2011,G775-49,G775-49/3,98911
2017年中国散文精选,中国作协创研部选,长江文艺出版社,978-7-5702-0056-6,2018,I267,I267/1807,9891
牛肉产地溯源技术研究,"郭波莉, 魏益民, 潘家荣",科学出版社,978-7-03-022402-6,2009,TS251.7,TS251.5/1,98907
云在天上飞,徐云峰,北京燕山出版社有限公司,978-7-5402-4880-2,2018,I267,I267/1806,9890
绝对富不起来的80后,西蒙,时代文艺出版社,978-7-5387-3203-0,2010,F830.59,F830.59/38,98899
戊戌维新和辛亥革命时期教育思想与论著选读. 上,冯克诚主,人民武警出版社,978-7-80176-473-7,2010,G40-092.5,G40-092.5/3:1,98892
明代心学教育思想与论著选读. 上,冯克诚主,人民武警出版社,978-7-80176-467-6,2010,B248,B248/1:1,98891
晚清华北乡土天主教民的信仰与民间文化,刘丽敏,人民出版社,978-7-01-020672-1,2019,B979.2,B979.2/7,9889
两宋理学教育思想与论著选读：中. 上,冯克诚主,人民武警出版社,978-7-80176-469-0,2010,G40-092.44,G40-092.44/4,98889
两宋理学教育思想与论著选读：下. 上,冯克诚主,人民武警出版社,978-7-80176-469-0,2010,G40-092.44,G40-092.44/4,98884
如何说，员工才会听，怎么带，员工才愿干,付燕君,成都地图出版社,978-7-5557-1078-3,2018,F272.92,F272.92/620,9888
毛泽东故土家族探秘. 2版,高菊村等,西苑出版社,978-7-80108-002-8,2009,A752,G127.64/1,98876
魏晋南北朝时期的教育学说与论著选读. 上,冯克诚主,人民武警出版社,978-7-80176-472-0,2010,G40-092.35,G40-092.35/1:1,98875
好好工作 : 有效的职场精进技巧,品墨,新华出版社,978-7-5166-4403-4,2018,B848.4,B848.4/1498,9887
消逝的蒋家巷,吴琦幸,上海书店出版社,978-7-5458-1823-9,2019,I267,I267/1805,9886
烟花爆竹生产单位主要负责人和安全生产管理人员培训教材 : 复训. 2,国家安全生产监督管理总局宣传教育中心写,冶金工业出版社,978-7-5024-4003-9,2009,TQ567.9,TQ567.9/6,98854
思维风暴,周乐主,辽海出版社,978-7-5451-5244-9,2019,B804-49,B804-49/28,9885
扑朔迷离的军事谍战,周世军主,蓝天出版社,978-7-5094-0426-3,2010,E19-49,E19-49/11,98840
异常心理学,"(美)马克·杜兰德(V. Mark Durand),(美)戴维·巴洛(David H. Barlow)",中国人民大学出版社,978-7-300-23658-2,2018,B846,B846/15,9884
千奇百怪的战争武器,周世军主,蓝天出版社,978-7-5094-0423-2,2010,E19-49,E19-49/13,98839
中国木材产业资源基础研究,印中华，宋维明,中国林业出版社,978-7-5038-5452-1,2009,F426.88,F426.88/2,98838
相逢在秋风夕阳里,邱海泉,大众文艺出版社,978-7-80240-659-9,2010,I247.8,I247.8/195,98837
认知发现学习理论与论著选读. 1,冯克诚主,人民武警出版社,978-7-80176-443-0,2010,G442,G442/3:1,98836
灶神门神财神,"赵宏,金诚",吉林文史出版社,978-7-5463-1699-4,2010,B933,B933/10,98835
神探韩峰 : 幕后黑手,何马,中国画报出版社,978-7-80220-496-6,2009,I247.56,I247.56/103,98834
故土情深 : 北安河忆旧,张连华,中国社会科学出版社,978-7-5203-0120-6,2018,I251,I251/127,9883
登上Google之巅 : SEO技巧与技术 : tips and techniques to get your site to the top of the search engine rankings-and stay there,"(美)David Viney,李明,贾晓楠",机械工业出版社,978-7-111-25598-7,2009,TP393.409,TP393.409/6,98827
世界科学博览 : 图文版. ①,陈晓丹,中国戏剧出版社,978-7-104-03051-5,2009,N49,N49/24:1,98822
浮生有爱,郦波,文汇出版社,978-7-5496-2920-6,2019,I267.1,I267.1/520,9882
传统民间生活大观,魏雯等,西苑出版社,978-7-80210-897-4,2011,D669.3,D669.3/14,98819
行星撞地球的传说,本书写组,广东世界图书出版公司,978-7-5100-1573-1,2010,P159-49,P159-49/8,98816
川剧入门与鉴赏,本丛书委会,中国出版集团公司,978-7-5100-0649-4,2009,J825.71,J825.71/1,98815
浩瀚无垠的宇宙,本书写组,广东世界图书出版公司,978-7-5100-1571-7,2010,P159-49,P159-49/7,98811
戊戌芒种书,黄藤主,陕西师范大学出版总社,978-7-5695-0470-5,2018,I12,I12/33,9881
高新科技的开发,本书写组,广东世界图书出版公司,978-7-5100-1615-8,2010,N49,N49/33,98808
永别了，武器,(美)海明威,吉林大学出版社,978-7-5692-2764-2,2019,I712.45,I712.45/530,9880
亚当·沙夫的“马克思人道观”研究,王燕,人民出版社,978-7-01-019514-8,2019,B513,B513/1,9879
人类对月球的开发,本书写组,广东世界图书出版公司,978-7-5100-1572-4,2010,V1-49,V1-49/1,98789
明代儒学教育思想与论著选读. 上,冯克诚主,人民武警出版社,978-7-80176-468-3,2010,G40-092.48,G40-092.48/2:1,98787
环境影响评价技术导则与标准 : 2009年版. 第2版,环境保护部环境工程评估中心,中国环境科学出版社,978-7-80209-929-6,2009,X820.3,X820.3/7,98786
地理中的自然奇观,本书写组,世界图书广东出版公司,978-7-5100-1439-0,2010,P941-49,P941-49/1,98783
"不放弃,就是春天",朱雪娜,煤炭工业出版社,978-7-5020-7311-4,2019,B848.4-49,B848.4-49/817,9878
传统文化进校园 : 中华优秀经典诗词选,周秉伟主,江苏大学出版社,978-7-5684-1088-5,2019,I222,I222/66,9877
每天读点管理学,杰锋,时事出版社,978-7-5195-0235-5,2018,C93-49,C93-49/47,9876
文野集. 一,温尚志,宁夏人民出版社,978-7-227-04032-3,2008,I267.1,I267.1/21,98756
农村女干部,李玉文,河南文艺出版社,978-7-5559-0724-4,2018,I247.54,I247.54/125,9875
插上飞翔的翅膀 : 最受中学生喜欢的校园赠言,罗英主,北京出版社,978-7-200-06484-1,2006,H033,H033/4,98745
地球两极的握手何以可能 : 通讯技术的神奇之旅,杨广军等,光明日报出版社,978-7-80206-456-0,2007,O3-19,TN91-49/2,98744
公共政策伦理,许淑萍,社会科学文献出版社·区域发展出版中心,978-7-5201-3115-5,2018,B82-051,B82-051/9,9874
人像摄影入门,温素文,吉林大学出版社,978-7-5601-1278-7,2001,J218.2,J413/12,98736
小魔术入门,崔颖月,吉林大学出版社,978-7-5601-1512-2,2001,J218.2,J838/7,98732
鬼谷子,(战国)鬼谷子原,金盾出版社,978-7-5186-1522-3,2019,B228.05,B228.05/9,9873
简笔画入门,余佳,吉林大学出版社,978-7-5601-0717-2,2001,J218.2,J214/49,98729
化学世界奇观,本书写组,广东世界图书出版公司,978-7-5100-1631-8,2010,O6-49,O6-49/7,98727
摄影入门,徐鹏飞,吉林大学出版社,978-7-5601-0717-2,2001,J218.2,J41/49,98720
漳河流金,应健,北京日报出版社,978-7-5477-3379-0,2019,I247.57,I247.57/2607,9872
塑料配方大全 第二版. 2版,"王文广, 严一丰主",化学工业出版社,978-7-122-03618-6,2009,TQ320.4,TQ320.4/1,98717
漫画造型入门,徐鹏飞,吉林大学出版社,978-7-5601-1444-6,2001,J218.2,J218.2/27,98715
探索化学的奥秘,本丛书委会,广东世界图书出版公司,978-7-5100-0705-7,2009,O6-49,O6-49/8,98713
中华句典. 1. 图文版,陈晓丹,中国戏剧出版社,978-7-104-03062-1,2009,H136.3,H136.3/16:1,98711
三言两语话“三言”,程慧琴,吉林大学出版社,978-7-5692-5829-5,2020,I207.4,I207.4/11,9871
图说世界海洋文明,曲金良,吉林人民出版社,978-7-206-06278-0,2009,K109,P7-091/19,98708
海洋世界 上. 中. 2,孙兴智,吉林人民出版社,978-7-206-06195-0,2010,P7-49,P7-49/6,98706
人类决裂,(美)约翰·斯卡尔齐(John Scalzi),江苏凤凰文艺出版社,978-7-5594-1463-2,2018,I712.45,I712.45/529,9870
行星与恒星,本书写组,广东世界图书出版公司,978-7-5100-1568-7,2010,P185-49,P185-49/1,98698
中国式崛起 : 和谐发展与公共经济管理改革,张占斌,国家行政学院出版社,978-7-80140-569-2,2007,F124,F124/3,98696
第五届灵隐文化研讨会论文集 : 纪念巨赞法师诞辰108周年,光泉主,宗教文化出版社,978-7-5188-0538-9,2018,B949.92,B949.92/34,9869
摄影的历史. 图说经典,郑虹,华文出版社,978-7-5075-2272-3,2009,J409.1,J409.1/1,98687
传世名帖. 2,主金开诚,吉林文史出版社,978-7-5463-1979-7,2009,J292.21,J292.21/1,98686
未解之谜全纪录,刘莹主,时代文艺出版社,7-5387-1727-7,2003,K919,Z228/78,98684
小农户参与可持续土地利用决策比较研究,何格，(埃塞)阿布勒姆·特泽拉·格塞斯,经济管理出版社,978-7-5096-6758-3,2019,F321.1,F321.1/40,9868
烟花爆竹生产单位主要负责人和安全生产管理人员培训教材 : 复训,国家安全生产监督管理总局宣传教育中心写,冶金工业出版社,978-7-5024-4003-9,2006,TQ567.9,TQ567.9/2,98676
货代作业实务,李秀华,机械工业出版社,978-7-111-21619-3,2007,F512.41,F512.41/1,98675
岩石学实习指导,徐耀鉴，徐汉南，任锡钢主,地质出版社,978-7-116-06169-9,2009,P58-45,P58-45/1,98672
青春期75张小纸条 : 我的青春我做主,孙朦,中国长安出版社,978-7-5107-0272-3,2010,G479,G479-49/2,98670
无界聚集,冯大庆,四川文艺出版社,978-7-5411-5168-2,2019,I230,I230/10,9867
环境影响评价案例分析 : 2009年版. 2版,梁鹏主,中国环境科学出版社,978-7-80209-946-3,2009,X820.3,X820.3/8,98668
心智的搏击 : 万物简史之武术卷,王经胜主,延边人民出版社,978-7-5449-1069-9,2010,B1-49,G852.092-49/1,98665
本源,(美)丹·布朗,人民文学出版社,978-7-02-013874-6,2018,I712.45,I712.45/528,9866
感悟人生枕边书全集,苗羽,海潮出版社,978-7-80213-148-4,2006,B821,B821/93,98659
校园文化的构建与引领,张红星,光明日报出版社,978-7-5112-1413-3,2011,G47,G47/32,98657
几何画板课件制作教程(第三版）. 3版,刘胜利,科学出版社,978-7-03-026723-8,2010,O18,O18/2,98656
外星人与UFO大揭秘,崔钟雷主,吉林美术出版社,978-7-5386-2500-4,2008,Q693-49,Q693-49/3,98655
每天一堂逻辑思维课,小黑,中国华侨出版社,978-7-5113-7617-6,2018,B81-49,B81-49/9,9865
龙争虎斗：散打,本书写组,广东世界图书出版公司,978-7-5100-2001-8,2011,G852.4,G852.4/15,98648
江苏青年文艺评论集. 2017,江苏省文艺评论家协会,江苏凤凰文艺出版社,978-7-5594-2067-1,2018,I206.7-53,I206.7-53/14,9864
女性职场浮沉全掌握 : 365条黄金“胜”经,颜妮 主,新世界出版社,978-7-5104-0283-8,2009,B848.4,B848.4-49/89,98639
"天虎. 六, 大官侠. 2版",严光星,宁夏人民出版社,978-7-227-02764-5,2010,I247.57,I247.5/115,98635
明清世情小说雅俗文化,申明秀,辽海出版社,978-7-5451-5053-7,2020,I207.4,I207.4/10,9863
人生这么长，慢一些又何妨,舒娅,中国纺织出版社,978-7-5180-5922-5,2019,B821-49,B821-49/1089,9862
中国通史,于海娣，黎娜,华文出版社,978-7-5075-2246-4,2009,K20,K20/2,98617
中国墨家,李亚彬,中国人民大学出版社,978-7-300-26584-1,2019,B224.5,B224.5/7,9861
建设工程法规及相关知识. 2版,何佰洲主,中国建筑工业出版社,978-7-112-09002-0,2007,D922.29,D922.297/66,98608
文字手艺人,宇文正,中国工人出版社,978-7-5008-6984-9,2018,I267.1,I267.1/519,9860
包法利夫人,(法)福楼拜,天津人民出版社,978-7-201-13329-4,2018,I565.44,I565.44/300,9859
学生社会交往中的108个怎么办,本书写组,世界图书出版公司,978-7-5100-1600-4,2010,C912.1,C912.1/227,98589
周作人散文精选,周作人,吉林文史出版社,978-7-5472-5156-0,2018,I266,I266/247,9858
小故事中的处世智慧,本书写组,广东世界图书出版公司,978-7-5100-1215-0,2010,B821-49,B821-49/368,98578
诗语四季,刘杜,现代出版社,978-7-5143-6869-7,2018,I227.8,I227.8/6,9857
2009质量专业基础知识与实务（初级）. 初级,全国质量专业技术人员职业资格考试办公室组织写,中国人事出版社,978-7-80189-801-2,2009,F273.2,F273.2/76,98566
我的姐姐住在壁炉上,(英)安娜贝尔·皮彻,江苏凤凰文艺出版社,978-7-5594-2604-8,2018,I561.45,I561.45/199,9856
阳光、空气和水 : 明天是否依然,"王晖龙, 王爱民",广东世界图书出版公司,978-7-5100-1269-3,2010,X51-49,X51-49/1,98559
卡耐基的说话秘诀,翟文明,光明日报出版社,978-7-5112-1105-7,2011,H019-49,H019-49/78,98556
图说资本论,谢洪波,华文出版社,978-7-5075-2549-6,2009,A811.23,A811.23/3,98553
幻象,田倚萌,江苏凤凰美术出版社,978-7-5580-3975-1,2019,I247.82,I247.82/156,9855
李宗吾厚黑处世智慧全书,"李宗吾原,金志文",世界知识出版社,978-7-5012-3457-8,2009,C912.1,C912.1/45,98542
人体中的化学,本书写组,广东世界图书出版公司,978-7-5100-2034-6,2010,Q5-49,Q5-49/1,98541
全力以赴之前，别说自己没机会,韩大爷的杂货铺,化学工业出版社,978-7-122-32185-5,2018,B848.4-49,B848.4-49/816,9854
绿色生活 : 21世纪新时尚,贾娟[等],广东世界图书出版公司,978-7-5100-1267-9,2010,X-49,X-49/6,98536
绿色档案 : 当代中国著名的民间环保组织,顾爽，代滢，孙忠杰,广东世界图书出版公司,978-7-5100-1472-7,2010,X-2,X32-232/1,98534
你知道吗：环保生活101问,杨任飞，张捷，夏宇鹏,广东世界图书出版公司,978-7-5100-1166-5,2009,X-44,X-44/1,98532
环北部湾物流业与石化产业的协调发展实证研究,唐连生,中国时代经济出版社,978-7-5119-2860-3,2019,F426.22,F426.22/39,9853
全球污染 : 跨国界的话题,"原英群,刘宏程",广东世界图书出版公司,978-7-5100-1270-9,2009,X5-49,X5-49/2,98528
海那边,严歌苓,江苏凤凰文艺出版社,978-7-5594-1721-3,2018,I712.45,I712.45/527,9852
古代家训,丁超,吉林文史出版社,978-7-5463-2006-9,2010,B823.1,B823.1/11,98517
马克思,郑春兴主,时代文艺出版社,978-7-5387-2757-9,2009,A712,A712/2,98516
遗世独立张爱玲 : 回忆若有香气,月下,青岛出版社,978-7-5552-7070-6,2019,K825.6,K825.6/242,9851
当代课程改革理论与论著选读（中）,冯克诚,人民武警出版社,978-7-80176-445-4,2011,G632.3,G632.3/32,98504
弗洛伊德与梦的解析,文聘元,台海出版社,978-7-5168-2096-4,2019,B84-065,B84-065/21,9850
艺术世界之最,本书写组,广东世界图书出版公司,978-7-5100-2042-1,2010,J110.9,J110.9-49/6,98494
思维简史,汪安迪,中国商业出版社,978-7-5208-0186-7,2019,B80-091,B80-091/1,9849
国学经典 : 图文版. ①,宋涛主,辽海出版社,978-7-5451-0428-8,2009,Z126-49,Z126-49/6:1,98482
《镜花缘》赏读. 下,谢普主,辽海出版社,978-7-5451-5282-1,2019,I207.4,I207.4/9：2,9848
可再生能源电力价格形成机制研究,时璟丽,化学工业出版社,978-7-122-03707-7,2008,F426.61,F426.61/11,98479
月亮宝石,(英)威尔基·柯林斯,黑龙江美术出版社,978-7-5593-2757-4,2019,I561.44,I561.44/240,9847
《镜花缘》赏读. 下,谢普主,辽海出版社,978-7-5451-5282-1,2019,I207.4,I207.4/9：1,9846
细节管理10堂执行课,王唤明,吉林大学出版社,978-7-5601-5539-5,2010,F270,F270/100,98451
永远买不起房的80后,西蒙,时代文艺出版社,978-7-5387-3184-2,2010,F830.59,F830.59-49/39,98450
朝花夕拾,鲁迅,百花洲文艺出版社,978-7-5500-2652-0,2018,I210.2,I210.2/55,9845
影响人一生的100个财富寓言. 2版,翟文明,光明日报出版社,978-7-80145-985-5,2010,F715-49,F715-49/27,98448
影响人一生的100个营销寓言,陈志刚,光明日报出版社,978-7-80145-964-0,2010,F713.50-49,F713.50-49/1,98446
奇正并用刘秀,水木年华,郑州大学出版社,978-7-5645-5291-6,2018,K827=342,K827=342/12,9844
古兽真相,光玉主,吉林出版集团有限责任公司,978-7-5463-4272-6,2011,Q915.87-49,Q915.87-49/1,98434
藏书不乐,周振鹤[],东方出版社,978-7-5207-0075-7,2018,I267.1,I267.1/518,9843
忆旧琐记 : 当年学术理论界的那些人和事,郑文林,当代中国出版社,978-7-5154-0856-9,2018,I267,I267/1804,9842
战争中的女性,彭林辉[等],广东世界图书出版公司,978-7-5100-0666-1,2009,E291-49,K818.5-49/2,98415
群雄争势 : 三国那些人事儿,姜若木,西苑出版社,978-7-80210-643-7,2010,K236.09,K236.09/5,98414
夕阳残照 : 清朝那些人事儿,姜若木,西苑出版社,978-7-80210-651-2,2010,K249.09,K249.09/5,98411
开皇盛世杨坚,水木年华,郑州大学出版社,978-7-5645-5288-6,2018,K827=41,K827=41/4,9841
韩国语3. 3,(韩) 韩国首尔大学语言教育院,外语教学与研究出版社,978-7-5600-7473-3,2008,H55,H55/65,98404
廊桥一梦 : 一座城市的新闻断代史,庞永力,燕山大学出版社,978-7-81142-512-3,2018,I253,I253/301,9840
"建筑文化大讲堂. 下卷, 近现代建筑. 2",李波,内蒙古大学出版社,978-7-81115-628-7,2010,TU-80,TU-80/3:3,98399
再忙也要静一静,郑九洲,中国纺织出版社,978-7-5180-5959-1,2019,B821-49,B821-49/1088,9839
鲁迅教我（下）. 上. 2版,王得后,福建教育出版社,978-7-5334-4539-3,2010,I210.96,I210.96/4,98386
鲁迅教我（上）. 上. 2版,王得后,福建教育出版社,978-7-5334-4539-3,2010,I210.96,I210.96/4,98384
再生资源理论政策及其应用. 1,李祝平,青海人民出版社,978-7-225-03803-2,2011,F426.2,F426.2/13,98383
独眼,邓晓岗,光明日报出版社,978-7-5194-3895-1,2018,I267.1,I267.1/517,9838
川剧,郭丰,吉林出版集团有限责任公司,978-7-5463-1532-4,2010,J825.71,J825.71/2,98374
三性寓言,张强,中国国际广播出版社,978-7-5078-4443-6,2019,I277.4,I277.4/20,9837
工程制图习题集. 3版,杨昌龄主,中国水利水电出版社,978-7-80124-362-1,1991,TB23-44,TB23-44/11,98363
基础会计. 3版,樊行健主,电子工业出版社,978-7-04-023350-6,2007,F230,F230/2,98362
梁启超趣味人生论美学文萃,梁启超原,中国文联出版社,978-7-5190-2790-2,2018,B83-092,B83-092/13,9836
网络文学发展史 : 汉语网络文学调查纪实,欧阳友权主,中国广播电视出版社,978-7-5043-4209-6,2008,I206.7,I206.7/3,98359
先秦百家学术中的教育学说与论著选读. 上,冯克诚主,人民武警出版社,978-7-80176-475-1,2010,G40-092.2,G40-092.2/1:1,98357
"“生命·实践”教育学研究. 第三辑, 学科教学的育人价值及其开发",华东师范大学“生命·实践”教育学研究院,上海教育出版社,978-7-5444-9119-8,2019,B083,B083/9,9835
水的除盐方法与工程应用,崔玉川主,化学工业出版社,978-7-122-03419-9,2008,TU991.26,TU991.26/1,98348
Symbian OS通信编程,"(英)Iain Campbell,何亮,陈亦铮,王玺钧",人民邮电出版社,978-7-115-19707-8,2009,TN929.53,TN929.53/27,98346
大学体验英语扩展教程1（第二版）. 1. 2版,宁春岩主,高等教育出版社,978-7-04-021645-5,2007,H31,H31/45,98345
个人与团队管理. 上册. 第2版,"(英) Karen Holems, Corinne Leech等",清华大学出版社,978-7-302-18755-4,2008,F272.9,F272.9/51,98341
超级临界机组锅炉设备及系统,朱全利主,化学工业出版社,978-7-122-02725-2,2008,TM621.2,TM621.2/1,98340
鄱湖生灵,罗张琴,长江文艺出版社,978-7-5702-1379-5,2020,I267,I267/1803,9834
基础会计. 3版,樊行健主,电子工业出版社,978-7-04-023350-6,2007,F230,F230/2,98339
Struts 2实战,"(美)Donald Brown，(美)Chad Michael Davis，(美)Scott Stanlick,马召",人民邮电出版社,978-7-115-21933-6,2010,TP311.56,TP311.56/51,98336
水利水电工程施工技术,李宏伟，刘景才主,云南大学出版社,978-7-5482-0141-0,2010,TV5,TV5/6,98335
使用物业电工技术,王丽艳,化学工业出版社,978-7-122-01801-4,2008,TM,TM/29,98334
影视广告策划与创作,王诗文主,中央广播电视出版社,978-7-5043-5785-4,2009,F713.80,F713.80/26,98333
森林资源弱市场化流转研究,曾华锋，聂影,中国林业出版社,978-7-5038-5457-6,2009,F326.2,F326.2/2,98330
美丽中国行. 广西“厕所革命”篇,中国旅游报社,中国旅游出版社,978-7-5032-6168-8,2018,K928.9,K928.9/170,9833
水利水电工程施工技术,李宏伟，刘景才主,云南大学出版社,978-7-5482-0141-0,2010,TV5,TV5/6,98326
中国对外投资项目案例分析 : 中国进出口银行海外投资项目精选,戴春宁主,清华大学出版社,978-7-302-19319-7,2009,F832.33,F832.33/11,98324
森林资源弱市场化流转研究,曾华锋，聂影,中国林业出版社,978-7-5038-5457-6,2009,F326.2,F326.2/2,98322
影视广告策划与创作,王诗文主,中央广播电视出版社,978-7-5043-5785-4,2009,F713.80,F713.80/26,98321
《诗经》情歌 : 从远古传来的爱情赞歌,李清秋,石油工业出版社,978-7-5183-2127-8,2018,I207,I207/25,9832
峥嵘岁月(一） : 民主革命时期中共银川党史资料. 一. 2版,黄晓宁主,宁夏人民出版社,978-7-227-03366-0,2010,D235.431,D235.431/1,98317
峥嵘岁月（四） : 民主革命时期中共银川党史资料. 一. 2版,黄晓宁主,宁夏人民出版社,978-7-227-03366-0,2010,D235.431,D235.431/1,98312
"应试指南经济法基础. 应试指南, 经济法基础","中华会计网校,叶青,游文丽主",人民出版社,978-7-01-007528-0,2009,F23,F23/67,98311
《呼兰河传》赏读,蔡晓峰,辽海出版社,978-7-5451-5261-6,2019,I207.425,I207.425/27,9831
电子商务法律法规,王丽萍主,电子工业出版社,978-7-121-09920-5,2010,D923.04,D923.04/4,98305
现场触电急救与创伤急救培训教材,《现场触电急救与创伤急救培训教材》写组,中国水利水电出版社,978-7-5084-5104-6,2008,R647.05,R647.059.7/1,98304
多元文化环境下的外国文学与比较文学,徐宏,吉林大学出版社,978-7-5692-0161-1,2018,I106-53,I106-53/8,9830
水利水电工程施工技术,李宏伟，刘景才主,云南大学出版社,978-7-5482-0141-0,2010,TV5,TV5/6,98295
可再生能源电力价格形成机制研究,时璟丽,化学工业出版社,978-7-122-03707-7,2008,F426.61,F426.61/11,98293
云上的秘密,(英)P.Z. 莱辛,长江出版社,978-7-5492-6268-7,2019,I561.45,I561.45/198,9829
林业企业实施森林认证的动力机制研究,黄晓玲,中国农业出版社,978-7-109-13667-0,2009,F307.26,F307.26/1,98288
软件测试基础教程 : a study guide for the certified tester exam. 2版,"(德)Andreas Spillner，(德)Tilo Linz，(挪)Hans Schaefer,刘琴",人民邮电出版社,978-7-115-19589-0,2009,TP311.56,TP311.5/57,98283
衍泽轩前,黄立荣,团结出版社,978-7-5126-6106-6,2018,I267,I267/1802,9828
炭黑生产节能减排技术,殷云龙主,化学工业出版社,978-7-122-02176-2,2008,TQ127.1,TQ127.1/1,98278
水利水电工程施工技术,李宏伟，刘景才主,云南大学出版社,978-7-5482-0141-0,2010,TV5,TV5/6,98273
洛神赋别传,薄晓婧,中国致公出版社,978-7-5145-1204-5,2018,I247.57,I247.57/2606,9827
劝学 : 中华文化竟是格言,金开诚,吉林出版集团有限责任公司,978-7-80762-490-5,2011,H136.3,H136.3/122,98269
计算机基础实训指导与习题集,王若东，易梁，王文生主,吉林大学出版社,978-7-5601-4434-4,2009,TP3,TP3/275,98263
学会交际,刘磊主,黑龙江美术出版社,978-7-5593-3113-7,2018,C912.11,C912.11/55,9826
视觉的体操 : 万物简史之美术卷,王经胜主,延边人民出版社,978-7-5449-1069-9,2010,B1-49,B1-49/3,98253
中国古代文学的发展,师帅,中国大地出版社,978-7-5200-0255-4,2019,I209.2,I209.2/25,9825
乾嘉汉学的教育思想与论著选读. 下,冯克诚主,人民武警出版社,978-7-80176-464-5,2010,G40-092.49,G40-092.49/1:2,98247
希望英语,,外语教学与研究出版社,978-7-5600-3352-5,2003,H31,H31/1347,98244
